,medal_type,country_code,discipline,code_athlete
663,Gold,UZB,Boxing,1556869
664,Silver,ESP,Boxing,1934775
665,Gold,UZB,Boxing,1556049
666,Silver,KGZ,Boxing,1878687
667,Gold,TPE,Boxing,1887963
668,Silver,POL,Boxing,1568655
669,Gold,CHN,Boxing,1926826
670,Silver,PAN,Boxing,1965679
671,Gold,CAN,Breaking,1958888
672,Silver,FRA,Breaking,1880191
673,Bronze,USA,Breaking,1955590
674,Gold,CZE,Canoe Sprint,1878715
675,Silver,HUN,Canoe Sprint,1570863
676,Bronze,HUN,Canoe Sprint,1569972
677,Gold,CAN,Canoe Sprint,1964547
678,Silver,USA,Canoe Sprint,1955126
679,Bronze,CUB,Canoe Sprint,1564506
680,Gold,NZL,Canoe Sprint,1945383
681,Silver,HUN,Canoe Sprint,1568350
682,Bronze,DEN,Canoe Sprint,1892423
683,Gold,CHN,Diving,1901556
684,Silver,JPN,Diving,1891685
685,Bronze,GBR,Diving,1900857
686,Gold,NZL,Golf,1939553
687,Silver,GER,Golf,1892506
688,Bronze,CHN,Golf,1913218
689,Gold,EGY,Modern Pentathlon,1932649
690,Silver,JPN,Modern Pentathlon,1887939
691,Bronze,ITA,Modern Pentathlon,1553031
692,Gold,SLO,Sport Climbing,1981131
693,Silver,USA,Sport Climbing,1950307
694,Bronze,AUT,Sport Climbing,1560673
695,Gold,IRI,Taekwondo,1536045
696,Silver,GBR,Taekwondo,1896149
697,Bronze,CUB,Taekwondo,1897088
698,Bronze,CIV,Taekwondo,1548401
699,Gold,FRA,Taekwondo,1893272
700,Silver,UZB,Taekwondo,1887768
701,Bronze,KOR,Taekwondo,1904039
702,Bronze,TUR,Taekwondo,1566738
703,Gold,GEO,Weightlifting,1551443
704,Silver,ARM,Weightlifting,1544424
705,Bronze,BRN,Weightlifting,1540334
706,Gold,CHN,Weightlifting,1918369
707,Silver,UZB,Weightlifting,1551307
708,Bronze,AIN,Weightlifting,1569832
709,Gold,NOR,Weightlifting,1878625
710,Silver,EGY,Weightlifting,1563010
711,Bronze,ECU,Weightlifting,1940308
712,Gold,GEO,Wrestling,1554885
713,Silver,IRI,Wrestling,1543088
714,Bronze,TUR,Wrestling,1570546
715,Bronze,AZE,Wrestling,1947172
716,Gold,UZB,Wrestling,1562164
717,Silver,JPN,Wrestling,1939708
718,Bronze,USA,Wrestling,1955345
719,Bronze,ALB,Wrestling,3429662
720,Gold,JPN,Wrestling,1939702
721,Silver,UKR,Wrestling,1897022
722,Bronze,KGZ,Wrestling,1902786
723,Bronze,NOR,Wrestling,1878635
724,Gold,NED,Athletics,1972105
725,Silver,ETH,Athletics,1901487
726,Bronze,KEN,Athletics,1932851
727,Gold,NED,Cycling Track,1969182
728,Silver,AUS,Cycling Track,1940263
729,Bronze,AUS,Cycling Track,1940262
730,Gold,USA,Cycling Track,1955106
731,Silver,POL,Cycling Track,1572953
732,Bronze,NZL,Cycling Track,1945080
733,Gold,NZL,Cycling Track,1945040
734,Silver,GER,Cycling Track,1889704
735,Bronze,GBR,Cycling Track,1912522
736,Gold,HUN,Modern Pentathlon,1936619
737,Silver,FRA,Modern Pentathlon,1545116
738,Bronze,KOR,Modern Pentathlon,1786902
739,Gold,CHN,Weightlifting,1918376
740,Silver,KOR,Weightlifting,1894414
741,Bronze,GBR,Weightlifting,1544179
742,Gold,JPN,Wrestling,1939700
743,Silver,IRI,Wrestling,1544830
744,Bronze,PUR,Wrestling,1537188
745,Bronze,ALB,Wrestling,1559387
746,Gold,BRN,Wrestling,1540305
747,Silver,GEO,Wrestling,1552495
748,Bronze,AZE,Wrestling,1981785
749,Bronze,IRI,Wrestling,1543095
750,Gold,JPN,Wrestling,1939701
751,Silver,USA,Wrestling,1955344
752,Bronze,CUB,Wrestling,1571936
753,Bronze,COL,Wrestling,1535513
754,Gold,GER,Rhythmic Gymnastics,1896230
755,Silver,BUL,Rhythmic Gymnastics,1548948
756,Bronze,ITA,Rhythmic Gymnastics,1923694
757,Gold,BEL,Athletics,1903112
758,Silver,GBR,Athletics,1977926
759,Bronze,BEL,Athletics,1895596
760,Gold,CHN,Diving,1901539
761,Gold,CHN,Diving,1901538
762,Silver,USA,Diving,1954159
763,Silver,USA,Diving,1954168
764,Bronze,GBR,Diving,1900841
765,Bronze,GBR,Diving,1973355
766,Gold,FRA,Rugby Sevens,1879682
767,Gold,FRA,Rugby Sevens,1879687
768,Gold,FRA,Rugby Sevens,1879683
769,Gold,FRA,Rugby Sevens,1879671
770,Gold,FRA,Rugby Sevens,1879681
771,Gold,FRA,Rugby Sevens,1879684
772,Gold,FRA,Rugby Sevens,1879675
773,Gold,FRA,Rugby Sevens,1879692
774,Gold,FRA,Rugby Sevens,1879672
775,Gold,FRA,Rugby Sevens,1879661
776,Gold,FRA,Rugby Sevens,1879669
777,Gold,FRA,Rugby Sevens,1879685
778,Gold,FRA,Rugby Sevens,1879670
779,Silver,FIJ,Rugby Sevens,1908897
780,Silver,FIJ,Rugby Sevens,1908838
781,Silver,FIJ,Rugby Sevens,1913346
782,Silver,FIJ,Rugby Sevens,1977633
783,Silver,FIJ,Rugby Sevens,1913523
784,Silver,FIJ,Rugby Sevens,1982069
785,Silver,FIJ,Rugby Sevens,1913286
786,Silver,FIJ,Rugby Sevens,1913334
787,Silver,FIJ,Rugby Sevens,1908911
788,Silver,FIJ,Rugby Sevens,1908835
789,Silver,FIJ,Rugby Sevens,1908841
790,Silver,FIJ,Rugby Sevens,2484588
791,Silver,FIJ,Rugby Sevens,1982687
792,Silver,FIJ,Rugby Sevens,1908901
793,Bronze,RSA,Rugby Sevens,1574106
794,Bronze,RSA,Rugby Sevens,1574107
795,Bronze,RSA,Rugby Sevens,1574108
796,Bronze,RSA,Rugby Sevens,1574109
797,Bronze,RSA,Rugby Sevens,1888936
798,Bronze,RSA,Rugby Sevens,1574111
799,Bronze,RSA,Rugby Sevens,1574134
800,Bronze,RSA,Rugby Sevens,1888932
801,Bronze,RSA,Rugby Sevens,1574114
802,Bronze,RSA,Rugby Sevens,1574121
