,code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date
9976,1968010,True,PERIBONIO AVILA Tomas,PERIBONIO AVILA T,Tomas PERIBONIO AVILA,Male,Athlete,ECU,Ecuador,Ecuador,Ecuador,Ecuador,ECU,0.0,0.0,['Swimming'],"[""Men's 200m Individual Medley""]",1996-01-16
9977,1968020,True,DAHAL Prince,DAHAL P,Prince DAHAL,Male,Athlete,NEP,Nepal,Nepal,Nepal,Nepal,NEP,172.0,0.0,['Badminton'],"[""Men's Singles""]",2004-02-08
9978,1968035,True,SHABALINA Ekaterina,SHABALINA E,Ekaterina SHABALINA,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,0.0,0.0,['Triathlon'],"[""Women's Individual""]",1998-05-28
9979,1968068,True,LIMA Bj Telefoni,LIMA B,Bj Telefoni LIMA,Male,Athlete,SAM,Samoa,Samoa,Samoa,Samoa,SAM,190.0,92.0,['Rugby Sevens'],['Men'],1999-07-23
9980,1968081,True,PARRO Carlos,PARRO C,Carlos PARRO,Male,Alternate Athlete,BRA,Brazil,Brazil,Italy,Italy,ITA,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1979-06-05
9981,1968090,True,MARCARI OLIVA Joao Victor,MARCARI OLIVA JV,Joao Victor MARCARI OLIVA,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],['Dressage Individual'],1996-02-02
9982,1968102,True,CARVALHO JORGE Marcio,CARVALHO JORGE M,Marcio CARVALHO JORGE,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1975-01-28
9983,1968108,True,VENISS Pedro,VENISS P,Pedro VENISS,Male,Alternate Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1983-01-06
9984,1968112,True,MAMPRIN LOSANO Rafael,MAMPRIN LOSANO R,Rafael MAMPRIN LOSANO,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1997-10-10
9985,1968115,True,PESSOA Rodrigo,PESSOA R,Rodrigo PESSOA,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1972-11-29
